,latest_sqft,latest_zhvi,mean_price,mean_price_err,mean_stars,mean_stars_err,n,z_hood,loop_i,state,county,city,neighborhood,lon,lat,lon_width,lat_width,bbox_area
161,58.0,67400.0,1.8,0.1788854382,3.58333333333,0.361644904619,6,273270,3971.0,NC,Mecklenburg,Charlotte,Clanton Park-Roseland,-80.8919029,35.193464,0.0343083,0.03698,3.83722514172
162,,,1.75,0.216506350946,3.5,0.37267799625,6,273274,4437.0,NV,Clark,Henderson,Clark County,-115.0038879,36.0448699,0.0309206,0.0232868,5.81495047657
163,,,1.4,0.219089023002,4.0,0.314269680527,9,273275,372.0,AZ,Maricopa,Tempe,Clark Park,-111.9456639,33.4110168,0.00442,0.0073296,0.231331102637
164,159.0,261700.0,1.44,0.0992773891679,3.46052631579,0.134676151714,38,273290,3924.0,NC,Mecklenburg,Charlotte,Closeburn-Glenkirk,-80.8594724,35.1545175,0.035577,0.020811,2.24721181776
165,,,1.4,0.219089023002,3.78125,0.165174800874,16,273302,3932.0,NC,Mecklenburg,Charlotte,Coliseum Drive,-80.7994814,35.205411,0.016651,0.010168,0.517218849485
166,183.0,229000.0,1.52631578947,0.155569208666,3.83823529412,0.109498282197,34,273317,3942.0,NC,Mecklenburg,Charlotte,Collingwood,-80.8695897,35.1806765,0.0197945,0.016331,0.980081447295
167,,,1.16666666667,0.152145154863,3.54545454545,0.276149329696,11,273326,3909.0,NC,Mecklenburg,Charlotte,Colonial Village,-80.8700924,35.1885895,0.011063,0.012589,0.422226310461
168,179.0,329100.0,1.80555555556,0.0947661550484,3.56382978723,0.10272103912,47,273357,3952.0,NC,Mecklenburg,Charlotte,Cotswold,-80.7951954,35.18278,0.037721,0.023068,2.65945190281
169,145.0,197000.0,1.33333333333,0.19245008973,4.0,0.141421356237,10,273366,3996.0,NC,Mecklenburg,Charlotte,Country Club Heights,-80.7880824,35.225542,0.027133,0.01986,1.64819517905
170,111.0,134100.0,,,4.25,0.53033008589,2,273391,5233.0,PA,Allegheny,Pittsburgh,Crawford Roberts,-79.9842091,40.4434463,0.0171394,0.0104392,0.594549719727
171,82.0,108100.0,1.96907216495,0.086810745208,3.85039370079,0.0699652891086,254,273421,4413.0,NV,Clark,Las Vegas,Cultural Corridor,-115.1321511,36.1784373,0.0425623,0.0201577,6.96198127294
172,171.0,243900.0,1.33333333333,0.19245008973,4.26315789474,0.183715202681,19,273435,314.0,AZ,Maricopa,Tempe,Dava-Lakeshore,-111.9159424,33.3529145,0.009533,0.007497,0.509669967168
173,88.0,148900.0,1.66666666667,0.544331053952,3.64285714286,0.29819671829,7,273438,4037.0,NC,Mecklenburg,Charlotte,Davis Lake-Eastfield,-80.8046832,35.3603075,0.0400925,0.048261,5.9076450589
